BOFEK_NHI,BOFEK,HELPNR
1,101,4
2,102,4
3,103,12
4,104,2
5,105,4
6,106,5
7,107,1
8,108,1
9,109,5
10,110,5
11,201,8
12,202,11
13,203,1
14,204,9
15,205,12
16,206,12
17,301,72
18,302,35
19,303,56
20,304,58
21,305,71
22,306,72
23,307,56
24,308,56
25,309,39
26,310,62
27,311,47
28,312,59
29,313,40
30,314,72
31,315,72
32,316,56
33,317,48
34,318,48
35,319,72
36,320,60
37,321,55
38,322,49
39,323,57
40,324,35
41,325,56
42,326,37
43,327,47
44,401,28
45,402,18
46,403,18
47,404,16
48,405,18
49,406,28
50,407,28
51,408,69
52,409,69
53,410,28
54,411,69
55,412,21
56,413,24
57,414,24
58,415,30
59,416,28
60,417,28
61,418,28
62,419,30
63,420,30
64,421,28
65,422,25
66,501,69
67,502,69
68,503,69
69,504,67
70,505,67
71,506,67
72,507,68
